unit_id,analytics_channels_in_template,analytics_template_rect_area,analytics_template_density,analytics_axon_length,analytics_num_branches,analytics_branch_lengths,analytics_branch_channel_density,analytics_branch_orders,analytics_maximum_branch_order,analytics_velocities
440,13825,7871850.0,0.0017562580587790672,331.6518231313674,2,"[331.6518231313674, 325.74975262778423]","[55.2753038552279, 54.291625437964036]","{0: 1, 1: 1}",1,"{0: 51.38815210579794, 1: 31.75141802584695}"
565,13825,7871850.0,0.0017562580587790672,195.33985905294662,2,"[195.33985905294662, 496.5919075566656]","[39.06797181058933, 70.94170107952365]","{0: 1, 1: 1}",1,"{0: 171.51384836839102, 1: 128.3874218209241}"
629,4301,7871850.0,0.0005463772810711587,811.5420729160827,2,"[811.5420729160827, 449.78206777989226]","[115.93458184515467, 64.25458111141317]","{0: 2, 1: 1}",2,"{0: 91.86995734761015, 1: 84.34166236164657}"
581,13825,7871850.0,0.0017562580587790672,339.78713763747794,3,"[339.78713763747794, 373.7530050305255, 186.84083402826565]","[67.95742752749558, 41.528111670058394, 26.691547718323665]","{0: 1, 1: 1, 2: 1}",1,"{0: 26.165062434644764, 1: 489.6288486153391, 2: 328.57677903402356}"
474,13825,7871850.0,0.0017562580587790672,382.0611127158681,3,"[382.0611127158681, 300.1032132407583, 505.5018730043167]","[47.75763908948351, 42.871887605822614, 63.187734125539585]","{0: 2, 1: 2, 2: 2}",2,"{0: 46.471047315965464, 1: 818.2596730333953, 2: 55.985512700365106}"
548,13825,7871850.0,0.0017562580587790672,363.4385305883185,2,"[363.4385305883185, 222.55277471381456]","[60.57308843138642, 37.09212911896909]","{0: 2, 1: 1}",2,"{0: 410.827564726745, 1: 28.153158679010133}"
542,8331,7871850.0,0.0010583280931420187,555.4857485188043,1,[555.4857485188043],[111.09714970376085],{0: 2},2,{0: 1271.0601966291704}
200,13825,7871850.0,0.0017562580587790672,353.85466172036035,1,[353.85466172036035],[70.77093234407207],{0: 1},1,{0: 304.6569509023899}
211,13825,7871850.0,0.0017562580587790672,193.74368670764582,3,"[193.74368670764582, 536.3147761322733, 515.0183799739009]","[32.2906144512743, 53.63147761322733, 42.91819833115841]","{0: 1, 1: 1, 2: 1}",1,"{0: -49.71064184150482, 1: 84.70534883059256, 2: 84.60773932399178}"
106,13825,7871850.0,0.0017562580587790672,364.5358749790071,6,"[364.5358749790071, 401.6397808433265, 435.2334278716856, 430.7335392802453, 324.0443438529875, 221.10223826543927]","[45.566984372375885, 36.51270734939332, 62.17620398166937, 53.84169241003066, 54.00739064216458, 31.586034037919895]","{0: 1, 1: 2, 2: 2, 3: 1, 4: 2, 5: 1}",2,"{0: 337.0391229452504, 1: 609.9630762319282, 2: 464.7954242566075, 3: 80.38113469985356, 4: 550.6750795333257, 5: 403.62919674769864}"
